genus,num_genomes,reference taxa level,taxon label used,nitrogen cycle metabolic process(GO:0071941),nitrogen fixation(GO:0009399),"anaerobic respiration, using ammonium as electron donor(GO:0019331)",denitrification pathway(GO:0019333),"aerobic respiration, using ammonia as electron donor(GO:0019409)",urea metabolic process(GO:0019627),nitrate assimilation(GO:0042128)
Archangium,3,False,Archangium,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Arcicella,10,family,Spirosomataceae,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Arcobacter,11,False,Arcobacter,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Arcticibacter,35,family,Sphingobacteriaceae,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Arcticiflavibacter,1,False,Arcticiflavibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arenibacter,2,False,Arenibacter,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Arenimonas,74,family,Lysobacteraceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Aromatoleum,4,False,Aromatoleum,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Arsenicitalea,13,family,Devosiaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Arthrobacter,14,False,Arthrobacter,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Asticcacaulis,1,False,Asticcacaulis,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Atopostipes,11,family,Carnobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Aurantiacibacter,2,False,Aurantiacibacter,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Aurantimicrobium,2,False,Aurantimicrobium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aurantimonas,66,family,Rhizobiaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Aurantisolimonas,32,family,Chitinophagaceae,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Aureimonas,3,False,Aureimonas,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Aureispira,1,False,Aureispira,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azohydromonas,56,family,Comamonadaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Azorhizobium,1,False,Azorhizobium,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Azospira,3,False,Azospira,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Azospirillum,5,False,Azospirillum,0.0,1.0,0.0,1.0,0.0,1.0,0.0
BD1-7 clade,4,family,Spongiibacteraceae,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BIyi10,1,family,Pseudohongiellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSV13,6,family,Prolixibacteraceae,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Bacillus,139,family,Bacillaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Bacteriovorax,1,False,Bacteriovorax,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroides,25,False,Bacteroides,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Bauldia,3,manual,119042,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Bdellovibrio,2,False,Bdellovibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beggiatoa,1,False,Beggiatoa,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Beijerinckia,1,False,Beijerinckia,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Bernardetia,1,False,Bernardetia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bifidobacterium,20,False,Bifidobacterium,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Blastococcus,2,False,Blastococcus,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Blastomonas,1,False,Blastomonas,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Blvii28 wastewater-sludge group,7,manual,Rikenellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bordetella,10,False,Bordetella,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Bosea,5,family,Beijerinckiaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Brachybacterium,7,False,Brachybacterium,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Bradyrhizobium,34,False,Bradyrhizobium,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Bremerella,1,False,Bremerella,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brevibacterium,10,False,Brevibacterium,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Brevifollis,6,family,Verrucomicrobiaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Brevundimonas,13,False,Brevundimonas,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Breznakibacter,2,family,Marinilabiliaceae,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bryobacter,1,family,Bryobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buchnera,40,family,Morganellaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Burkholderia-Caballeronia-Paraburkholderia,107,family,Burkholderiaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Buttiauxella,2,False,Buttiauxella,0.0,0.0,0.0,0.0,0.0,1.0,1.0
C39,10,family,Rhodocyclaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
CL500-29 marine group,1,family,Ilumatobacteraceae,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CL500-3,3,family,Phycisphaeraceae,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM1G08,39,family,Oxalobacteraceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Caenimonas,56,family,Comamonadaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Caldimonas,3,False,Caldimonas,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Calothrix KVSF5,4,family,Leptolyngbyaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Calothrix NIES-2100,9,family,Nostocaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Calothrix PCC-6303,9,family,Nostocaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Candidatus Accumulibacter,1,False,Accumulibacter,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Candidatus Alysiosphaera,3,family,Geminicoccaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Candidatus Amoebophilus,1,False,Amoebophilus,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Anammoximicrobium,12,family,Pirellulaceae,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Candidatus Aquiluna,1,False,Aquiluna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Bacilloplasma,30,family,Mycoplasmataceae,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Candidatus Brocadia,1,family,Brocadiaceae,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Candidatus Captivus,2,family,Paracaedibacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Electronema,6,family,Desulfobulbaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Candidatus Finniella,2,family,Paracaedibacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Jidaibacter,6,family,Midichloriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Koribacter,1,False,Koribacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Limnoluna,102,family,Microbacteriaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Candidatus Megaira,1,False,Megaira,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Methylopumilus,1,False,Methylopumilus,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Candidatus Nitrosoarchaeum,10,manual,Nitrosopumilaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Candidatus Nitrosocosmicus,3,family,Nitrososphaeraceae,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Candidatus Nitrotoga,1,False,Nitrotoga,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Omnitrophus,1,manual,67812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Paracaedibacter,2,family,Paracaedibacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Planktoluna,102,family,Microbacteriaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Candidatus Planktophila,6,False,Planktophila,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Rhabdochlamydia,2,False,Rhabdochlamydia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Symbiobacter,1,False,Symbiobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
