genus,num_genomes,reference taxa level,taxon label used,nitrogen cycle metabolic process(GO:0071941),nitrogen fixation(GO:0009399),"anaerobic respiration, using ammonium as electron donor(GO:0019331)",denitrification pathway(GO:0019333),"aerobic respiration, using ammonia as electron donor(GO:0019409)",urea metabolic process(GO:0019627),nitrate assimilation(GO:0042128)
Fusibacter,33,manual,,0.0,1.0,0.0,1.0,0.0,1.0,1.0
GOUTA6,7,family,Nitrosomonadaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
GTL1,2,family,Saccharimonadaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW2011_GWC1_47_15,33,manual,,0.0,1.0,0.0,1.0,0.0,1.0,1.0
GWD2-49-16,3,family,Anaerolineaceae,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Galbitalea,102,family,Microbacteriaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Gallionella,1,False,Gallionella,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Geitlerinema LD9,1,family,Cyanobacteriaceae,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Geminocystis PCC-6308,1,family,Cyanobacteriaceae,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Gemmata,2,False,Gemmata,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gemmatimonas,3,False,Gemmatimonas,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Gemmobacter,1,False,Gemmobacter,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Geoanaerobacter,14,family,Geobacteraceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Geobacter,4,False,Geobacter,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Geomobilimonas,14,family,Geobacteraceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Geomonas,4,False,Geomonas,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Georgfuchsia,10,family,Rhodocyclaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Geotalea,2,False,Geotalea,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Geothrix,1,False,Geothrix,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Giesbergeria,56,family,Comamonadaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Gillisia,199,family,Flavobacteriaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Gloeobacter PCC-7421,3,family,Gloeobacteraceae,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Glutamicibacter,6,False,Glutamicibacter,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Granulicella,2,False,Granulicella,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Haematobacter,1,False,Haematobacter,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Haematospirillum,1,False,Haematospirillum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Halioglobus,1,False,Halioglobus,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haliscomenobacter,1,False,Haliscomenobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Halomonas,13,False,Halomonas,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Hassallia,33,manual,,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Herbaspirillum,6,False,Herbaspirillum,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Herminiimonas,1,False,Herminiimonas,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hirschia,1,False,Hirschia,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hoppeia,199,family,Flavobacteriaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Humidesulfovibrio,29,family,Desulfovibrionaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Hydrogenophaga,3,False,Hydrogenophaga,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Hylemonella,56,family,Comamonadaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Hymenobacter,18,False,Hymenobacter,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Hypericibacter,2,False,Hypericibacter,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hyphomicrobium,2,False,Hyphomicrobium,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Hyphomonas,1,False,Hyphomonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hypnocyclicus,13,family,Leptotrichiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMCC26134,7,family,Opitutaceae,0.0,1.0,0.0,1.0,0.0,1.0,0.0
IS-44,7,family,Nitrosomonadaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Iamia,1,False,Iamia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ideonella,1,False,Ideonella,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Ignatzschineria,2,False,Ignatzschineria,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ignavibacterium,1,False,Ignavibacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ilumatobacter,1,False,Ilumatobacter,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Immundisolibacter,1,False,Immundisolibacter,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Imperialibacter,1,False,Imperialibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inhella,1,False,Inhella,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Inquilinus,8,manual,Rhodospirillaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Insolitispirillum,8,family,Rhodospirillaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Intrasporangium,1,False,Intrasporangium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iodobacter,1,False,Iodobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JGI 0001001-H03,33,manual,,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Jahnella,3,family,Polyangiaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Janthinobacterium,6,False,Janthinobacterium,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Jatrophihabitans,2,False,Jatrophihabitans,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KCM-B-112,10,family,Acidithiobacillaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
KD3-10,7,family,Myxococcaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Kamptonema PCC-6407,5,family,Phormidiaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Ketobacter,1,False,Ketobacter,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kineobactrum,1,False,Kineobactrum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kineococcus,1,False,Kineococcus,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kineosporia,1,family,Kineosporiaceae,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Klebsiella,10,False,Klebsiella,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Klenkia,4,family,Geodermatophilaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Knoellia,9,family,Intrasporangiaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Kocuria,2,False,Kocuria,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Kofleria,1,family,Haliangiaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Kribbella,1,False,Kribbella,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB3-76,4,family,Leptolyngbyaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Labrys,1,manual,204476,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Lacibacter,1,False,Lacibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lacihabitans,10,family,Spirosomataceae,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Lactococcus,8,False,Lactococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larkinella,1,False,Larkinella,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lautropia,1,False,Lautropia,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Legionella,17,False,Legionella,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lentisphaera,1,False,Lentisphaera,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leptolinea,3,family,Anaerolineaceae,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Leptolyngbya ANT.L52.2,4,family,Leptolyngbyaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Leptolyngbya FYG,4,family,Leptolyngbyaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Leptolyngbya PCC-6306,4,family,Leptolyngbyaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Leptolyngbya SAG 2411,4,family,Leptolyngbyaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Leptospira,10,False,Leptospira,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Leptothrix,56,family,Comamonadaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Leucobacter,9,False,Leucobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewinella,2,family,Saprospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lichenibacterium,5,family,Beijerinckiaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Limnobacter,2,False,Limnobacter,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Limnohabitans,56,family,Comamonadaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Loktanella,1,False,Loktanella,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Longilinea,3,family,Anaerolineaceae,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Longivirga,1,family,Sporichthyaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luteibacter,7,False,Luteibacter,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Luteimonas,3,False,Luteimonas,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Luteitalea,1,False,Luteitalea,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Luteolibacter,2,False,Luteolibacter,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Lysinibacillus,11,False,Lysinibacillus,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Lysobacter,10,False,Lysobacter,0.0,1.0,0.0,0.0,0.0,0.0,1.0
MD3-55,6,family,Midichloriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM1,6,family,Methylophilaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MM2,6,family,Methylophilaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MND1,7,family,Nitrosomonadaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
MSBL3,1,family,Kiritimatiellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWH-Ta3,102,family,Microbacteriaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Macellibacteroides,6,family,Tannerellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Magnetospirillum,1,False,Magnetospirillum,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Malikia,56,family,Comamonadaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Mangrovihabitans,28,family,Micromonosporaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Maribacter,5,False,Maribacter,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Marinagarivorans,1,False,Marinagarivorans,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Marine Benthic Group D and DHVEG-1,33,manual,,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Mariniblastus,1,False,Mariniblastus,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mariniflexile,1,False,Mariniflexile,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marinomonas,9,False,Marinomonas,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Marinoscillum,11,family,Cyclobacteriaceae,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Marisediminicola,1,False,Marisediminicola,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marmoricola,35,family,Nocardioidaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Massilia,9,False,Massilia,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Meiothermus,2,False,Meiothermus,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mesorhizobium,11,False,Mesorhizobium,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Methanoregula,2,False,Methanoregula,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Methanosarcina,10,False,Methanosarcina,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Methanothrix,3,False,Methanothrix,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Methylibium,1,False,Methylibium,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Methylobacter,19,manual,Methylococcaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Methylobacterium,11,False,Methylobacterium,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Methylocapsa,1,False,Methylocapsa,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Methylocella,2,False,Methylocella,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Methylocystis,5,False,Methylocystis,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Methyloglobulus,19,manual,Methylococcaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Methylomonas,6,False,Methylomonas,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Methyloparacoccus,19,family,Methylococcaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Methylophilus,6,family,Methylophilaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Methylorosula,5,family,Beijerinckiaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Methylotenera,2,False,Methylotenera,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Methyloversatilis,10,family,Rhodocyclaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Methylovorus,1,False,Methylovorus,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Methylovulum,1,False,Methylovulum,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Microbacterium,35,False,Microbacterium,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Microcella,4,False,Microcella,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microcoleus SAG 1449-1a,1,family,Coleofasciculaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Microlunatus,2,False,Microlunatus,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Micromonospora,12,False,Micromonospora,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Microvirga,4,False,Microvirga,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Minicystis,3,family,Polyangiaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Mobilitalea,59,family,Lachnospiraceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Mucilaginibacter,13,False,Mucilaginibacter,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Mycetocola,2,False,Mycetocola,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Mycobacterium,47,False,Mycobacterium,0.0,0.0,0.0,0.0,0.0,1.0,1.0
NK4A214 group,28,family,Oscillospiraceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Nakamurella,2,False,Nakamurella,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Namhaeicola,199,family,Flavobacteriaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Nannocystis,1,False,Nannocystis,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nemorincola,32,family,Chitinophagaceae,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Neobacillus,2,False,Neobacillus,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Neochlamydia,3,family,Parachlamydiaceae,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nesterenkonia,1,False,Nesterenkonia,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nevskia,1,family,Nevskiaceae,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Niallia,3,False,Niallia,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Niastella,1,False,Niastella,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nitratireductor,4,False,Nitratireductor,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Nitrosarchaeum,10,family,Nitrosopumilaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Nitrosomonas,4,False,Nitrosomonas,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Nitrosospira,3,False,Nitrosospira,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nitrospira,7,family,Nitrospiraceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Niveispirillum,1,False,Niveispirillum,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nocardioides,27,False,Nocardioides,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Nostoc PCC-73102,9,family,Nostocaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Noviherbaspirillum,39,family,Oxalobacteraceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Novosphingobium,9,False,Novosphingobium,0.0,1.0,0.0,0.0,0.0,1.0,1.0
OLB13,33,manual,,0.0,1.0,0.0,1.0,0.0,1.0,1.0
OLB8,2,family,Saprospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OM27 clade,4,family,Pseudobdellovibrionaceae,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Occallatibacter,1,False,Occallatibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceanicella,69,family,Paracoccaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Oerskovia,13,family,Cellulomonadaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Ohtaekwangia,5,manual,Fulvivirgaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Oleiharenicola,7,family,Opitutaceae,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Oleiphilus,1,False,Oleiphilus,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Opitutus,1,False,Opitutus,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Ornithinibacter,9,family,Intrasporangiaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Ornithinimicrobium,7,False,Ornithinimicrobium,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Oryzobacter,2,False,Oryzobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oscillochloris,2,family,Chloroflexaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ottowia,3,False,Ottowia,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Oxalicibacterium,39,family,Oxalobacteraceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Oxalobacter,2,False,Oxalobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3OB-42,7,family,Myxococcaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Paenibacillus,64,False,Paenibacillus,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Paeniclostridium,14,family,Peptostreptococcaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Paeniglutamicibacter,44,family,Micrococcaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Pajaroellobacter,3,family,Polyangiaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Paludibacter,1,False,Paludibacter,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Paludibacterium,2,False,Paludibacterium,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Paludibaculum,1,False,Paludibaculum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panacibacter,1,False,Panacibacter,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pantoea,16,False,Pantoea,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Parablastomonas,49,family,Sphingomonadaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Paracoccus,69,family,Paracoccaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Paraconexibacter,1,False,Paraconexibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pararhizobium,2,False,Pararhizobium,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Pararhodospirillum,1,False,Pararhodospirillum,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Parasediminibacterium,32,family,Chitinophagaceae,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Parasegetibacter,32,family,Chitinophagaceae,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Parazoarcus,10,family,Rhodocyclaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Parvibium,38,family,Alcaligenaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Paucibacter,4,False,Paucibacter,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Pectobacterium,17,False,Pectobacterium,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Pedobacter,9,False,Pedobacter,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Pedococcus-Phycicoccus,9,family,Intrasporangiaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Pedomicrobium,4,family,Hyphomicrobiaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Pelagibaculum,6,family,Leucotrichaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Pelosinus,11,family,Sporomusaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Pelotalea,14,family,Geobacteraceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Peredibacter,1,False,Peredibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peribacillus,4,False,Peribacillus,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Perlucidibaca,54,family,Moraxellaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Permianibacter,1,False,Permianibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Persicitalea,10,family,Spirosomataceae,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Phaeodactylibacter,2,family,Saprospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phenylobacterium,3,False,Phenylobacterium,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Phormidesmis ANT.L52.6,4,family,Leptolyngbyaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Phormidesmis ANT.LACV5.1,4,manual,Leptolyngbyaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Phormidium CYN64,4,family,Leptolyngbyaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Phormidium SAG 37.90,4,family,Leptolyngbyaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Phreatobacter,2,False,Phreatobacter,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Phycisphaera,1,False,Phycisphaera,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Phyllobacterium,2,False,Phyllobacterium,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Pir4 lineage,12,family,Pirellulaceae,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Pirellula,12,family,Pirellulaceae,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Piscinibacter,2,False,Piscinibacter,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Planctomicrobium,12,manual,Planctomycetaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Planctopirus,2,False,Planctopirus,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Planktothrix NIVA-CYA 15,5,family,Phormidiaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Planococcus,25,family,Planococcaceae,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Plantibacter,102,family,Microbacteriaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Pleomorphomonas,1,family,Pleomorphomonadaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Pleurocapsa PCC-7319,33,manual,,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Polaromonas,3,False,Polaromonas,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Polyangium,1,False,Polyangium,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Polymorphobacter,49,family,Sphingomonadaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Polynucleobacter,10,False,Polynucleobacter,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Pontixanthobacter,49,family,Sphingomonadaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Portibacter,2,family,Saprospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potamolinea 1PC,1,family,Coleofasciculaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Pricia,199,family,Flavobacteriaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Propionicimonas,26,family,Propionibacteriaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Propionispira,6,family,Selenomonadaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Propionivibrio,10,family,Rhodocyclaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Prosthecobacter,6,family,Verrucomicrobiaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Pseudaeromonas,1,False,Pseudaeromonas,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Pseudaminobacter,66,family,Rhizobiaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Pseudanabaena PCC-6802,3,family,Pseudanabaenaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Pseudanabaena PCC-7403,3,family,Pseudanabaenaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Pseudanabaena PCC-7429,3,family,Pseudanabaenaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Pseudarcicella,10,family,Spirosomataceae,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Pseudarthrobacter,2,False,Pseudarthrobacter,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Pseudazoarcus,1,False,Pseudazoarcus,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pseudobdellovibrio,1,False,Pseudobdellovibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pseudoduganella,7,False,Pseudoduganella,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Pseudohongiella,1,False,Pseudohongiella,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pseudolabrys,5,family,Xanthobacteraceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Pseudolysinimonas,102,family,Microbacteriaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Pseudolysobacter,1,False,Pseudolysobacter,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pseudomethylobacillus,6,family,Methylophilaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Pseudomonas,145,False,Pseudomonas,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Pseudonocardia,4,False,Pseudonocardia,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pseudopelobacter,1,False,Pseudopelobacter,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pseudorhodobacter,1,False,Pseudorhodobacter,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pseudorhodoferax,56,family,Comamonadaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Pseudorhodoplanes,1,False,Pseudorhodoplanes,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pseudoxanthomonas,5,False,Pseudoxanthomonas,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Psychrobacillus,1,False,Psychrobacillus,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Psychrobacter,6,False,Psychrobacter,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Puia,32,family,Chitinophagaceae,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Qipengyuania,5,False,Qipengyuania,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RBG-16-49-21,11,family,Leptospiraceae,0.0,1.0,0.0,1.0,0.0,0.0,1.0
